City;Latitude;Longitude;Country
Zwolle;52.5125;6.09444;NL
Zwijndrecht;51.8175;4.63333;NL
De Westereen;53.25731;6.0363;NL
Zutphen;52.13833;6.20139;NL
Zundert;51.47167;4.65556;NL
Zuidwijk;51.87532;4.48514;NL
Zuid-Scharwoude;52.68667;4.80833;NL
Zuidhorn;53.24667;6.40278;NL
Zuiderburen;53.1734;5.84271;NL
Zoetermeer;52.0575;4.49306;NL
Zierikzee;51.65;3.91944;NL
Zevenaar;51.93;6.07083;NL
Zelhem;52.00667;6.34861;NL
Zeist;52.09;5.23333;NL
Zeewolde;52.33;5.54167;NL
Zeelst;51.42421;5.41566;NL
Zandvoort;52.37125;4.53306;NL
Zandberg;51.57333;4.78472;NL
Zaltbommel;51.81;5.24444;NL
Zaanstad;52.45313;4.81356;NL
Zaandijk;52.47494;4.80686;NL
Zaandam;52.43854;4.82643;NL
Yerseke;51.4925;4.05;NL
Woudrichem;51.815;5.00139;NL
Woudenberg;52.08083;5.41667;NL
Wolvega;52.87545;5.99691;NL
Woerden;52.085;4.88333;NL
Woenselse Heide;51.48333;5.46667;NL
Wisch;51.92648;6.41705;NL
Winterswijk;51.9725;6.71944;NL
Winschoten;53.14417;7.03472;NL
Wilnis;52.19667;4.89722;NL
Wijk bij Duurstede;51.97417;5.34167;NL
Wijhe;52.38667;6.13472;NL
Wijchen;51.80917;5.725;NL
Wierden;52.35917;6.59306;NL
Westervoort;51.95583;5.97222;NL
Werkendam;51.81;4.89444;NL
Weesp;52.3075;5.04167;NL
Weert;51.25167;5.70694;NL
Wassenaar;52.14583;4.40278;NL
Waspik;51.68667;4.94444;NL
Warnsveld;52.1375;6.23056;NL
Wageningen;51.97;5.66667;NL
Waddinxveen;52.045;4.65139;NL
Waalwijk;51.6825;5.07083;NL
Waalre;51.38667;5.44444;NL
Vught;51.65333;5.2875;NL
Vroomshoop;52.46083;6.56528;NL
Vriezenveen;52.40833;6.62222;NL
Vreewijk;51.88428;4.51967;NL
Voorthuizen;52.18667;5.60556;NL
Voorschoten;52.1275;4.44861;NL
Voorburg;52.07417;4.35972;NL
Volendam;52.495;5.07083;NL
Vogelwijk;52.07631;4.2479;NL
Vlissingen;51.4425;3.57361;NL
Vleuten;52.10583;5.01528;NL
Vlaardingen;51.9125;4.34167;NL
Vianen;51.9925;5.09167;NL
Venray;51.525;5.975;NL
Venlo;51.37;6.16806;NL
Velsen-Zuid;52.46;4.65;NL
Velp;51.995;5.97361;NL
Veldhuizen;52.07537;5.01234;NL
Veldhoven;51.41833;5.40278;NL
Veghel;51.61667;5.54861;NL
Veenendaal;52.02863;5.55891;NL
Veendam;53.10667;6.87917;NL
Varsseveld;51.94333;6.45833;NL
Valkenswaard;51.35083;5.45972;NL
Vaassen;52.28583;5.96667;NL
Vaartbroek;51.47954;5.49806;NL
Vaals;50.77083;6.01806;NL
Utrecht;52.09083;5.12222;NL
Urk;52.6625;5.60139;NL
Uithoorn;52.2375;4.82639;NL
Uitgeest;52.52917;4.70972;NL
Udenhout;51.60917;5.14306;NL
Uden;51.66083;5.61944;NL
Twello;52.23667;6.10278;NL
Tubbergen;52.4075;6.78472;NL
Tongelre;51.44889;5.51978;NL
Tilburg;51.55551;5.0913;NL
Tiel;51.88667;5.42917;NL
Tholen;51.53167;4.22083;NL
Teteringen;51.60917;4.82083;NL
Terneuzen;51.33583;3.82778;NL
Terheijden;51.64333;4.75417;NL
Tegelen;51.34417;6.13611;NL
Surhuisterveen;53.18477;6.17031;NL
Strijen;51.74521;4.55083;NL
Stiens;53.26234;5.75769;NL
Stein;50.96917;5.76667;NL
Steenwijk;52.7875;6.12083;NL
Steenbergen;51.58417;4.31944;NL
Statenkwartier;52.09311;4.27577;NL
Staphorst;52.645;6.21111;NL
Stadskanaal;52.98947;6.9504;NL
Spijkenisse;51.845;4.32917;NL
Spangen;51.91688;4.43539;NL
Someren;51.385;5.71111;NL
Soest;52.17333;5.29167;NL
Sneek;53.03297;5.6589;NL
Slikkerveer;51.88531;4.60494;NL
Sliedrecht;51.82083;4.77639;NL
Sittard;50.99833;5.86944;NL
Sint Willebrord;51.54833;4.58889;NL
Sint Pancras;52.66;4.78333;NL
Sint-Oedenrode;51.5675;5.45972;NL
's-Hertogenbosch;51.69917;5.30417;NL
's-Gravenzande;52.00167;4.16528;NL
The Hague;52.07667;4.29861;NL
Sevenum;51.4125;6.0375;NL
Selwerd;53.2352;6.5545;NL
Schoonhoven;51.9475;4.84861;NL
Schijndel;51.6225;5.43194;NL
Schiedam;51.91917;4.38889;NL
Schiebroek;51.95838;4.47124;NL
Scheveningen;52.10461;4.27557;NL
Scherpenzeel;52.08;5.48889;NL
Scharn;50.85;5.73333;NL
Schaijk;51.74583;5.63194;NL
Schagen;52.7875;4.79861;NL
Sassenheim;52.225;4.52222;NL
Sappemeer;53.16417;6.79028;NL
Ruurlo;52.08833;6.45;NL
Rozenburg;51.90417;4.24861;NL
Rotterdam;51.9225;4.47917;NL
Roosendaal;51.53083;4.46528;NL
Roermond;51.19417;5.9875;NL
Roden;53.1375;6.42083;NL
Rijswijk;52.03634;4.32501;NL
Rijnsburg;52.19;4.44167;NL
Rijen;51.59083;4.91944;NL
Ridderkerk;51.8725;4.60278;NL
Rhoon;51.8575;4.42222;NL
Rhenen;51.95917;5.56806;NL
Rheden;52.005;6.02917;NL
Reuver;51.28417;6.07778;NL
Reusel;51.3625;5.16528;NL
Renkum;51.97667;5.73333;NL
Reeuwijk;52.04667;4.725;NL
Raamsdonksveer;51.69667;4.87361;NL
Raalte;52.38583;6.275;NL
Putten;52.25917;5.60694;NL
Purmerend;52.505;4.95972;NL
Prinsenbeek;51.59833;4.7125;NL
Princenhage;51.57632;4.73906;NL
Poeldijk;52.02417;4.21944;NL
Pijnacker;52.01954;4.42946;NL
Pendrecht;51.87152;4.46901;NL
Peelo;53.01719;6.56208;NL
Papendrecht;51.83167;4.6875;NL
Panningen;51.32667;5.97917;NL
Palenstein;52.05579;4.50869;NL
Overschie;51.93863;4.42766;NL
Oud Gastel;51.58667;4.45972;NL
Oudewater;52.025;4.86806;NL
Ouderkerk aan de Amstel;52.29504;4.90746;NL
Oude Pekela;53.10417;7.00972;NL
Ouddorp;51.81167;3.93472;NL
Oud-Beijerland;51.82417;4.4125;NL
Oss;51.765;5.51806;NL
Orden;52.20113;5.93417;NL
Opmeer;52.70667;4.94444;NL
Opheusden;51.93167;5.63194;NL
Oosterwolde;52.99164;6.29096;NL
Oosterpark;53.2237;6.5853;NL
Oosterhout;51.645;4.85972;NL
Oosterbeek;51.98583;5.84583;NL
Oosteinde;52.27917;4.79583;NL
Ommoord;51.95951;4.54533;NL
Ommen;52.52083;6.42083;NL
Oldenzaal;52.31333;6.92917;NL
Oisterwijk;51.57917;5.18889;NL
Oirschot;51.505;5.31389;NL
Oegstgeest;52.18;4.46944;NL
Odijk;52.0525;5.23611;NL
Obdam;52.67583;4.90694;NL
Nunspeet;52.37917;5.78611;NL
Nuenen;51.47;5.55278;NL
Noordwijkerhout;52.26167;4.49306;NL
Noordwijk-Binnen;52.234;4.44474;NL
Noord-Scharwoude;52.69833;4.81111;NL
Noord-Hofland;52.14059;4.45864;NL
Nistelrode;51.70417;5.5625;NL
Nijmegen;51.8425;5.85278;NL
Nijkerk;52.22;5.48611;NL
Nieuw-Loosdrecht;52.19917;5.13889;NL
Nieuw-Lekkerland;51.88915;4.68653;NL
Nieuwegein;52.02917;5.08056;NL
Neede;52.13417;6.61389;NL
Nederweert;51.28583;5.74861;NL
Neder-Hardinxveld;51.82879;4.85489;NL
Naarden;52.29583;5.1625;NL
Naaldwijk;51.99417;4.20972;NL
Muiden;52.33;5.06944;NL
Montfoort;52.04583;4.95278;NL
Monster;52.02583;4.175;NL
Mijdrecht;52.20667;4.8625;NL
Mierlo;51.44;5.61944;NL
Middelharnis;51.7575;4.16528;NL
Middelburg;51.5;3.61389;NL
Merenwijk;52.17655;4.50885;NL
Meppel;52.69583;6.19444;NL
Meijel;51.34417;5.88472;NL
Meerssen;50.8875;5.75;NL
Medemblik;52.77167;5.10556;NL
Marum;53.14417;6.2625;NL
Malberg;50.86244;5.65419;NL
Made;51.67667;4.79306;NL
Maastricht;50.84833;5.68889;NL
Maassluis;51.92333;4.25;NL
Maasbree;51.3575;6.04861;NL
Maasbracht;51.13929;5.88627;NL
Maarssen;52.13917;5.04167;NL
Lunteren;52.085;5.62222;NL
Losser;52.26083;7.00417;NL
Lopik;51.9725;4.94861;NL
Loon op Zand;51.6275;5.075;NL
Lombardijen;51.8738;4.52192;NL
Lochem;52.15917;6.41111;NL
Lisse;52.26;4.55694;NL
Lindenholt;51.8327;5.7934;NL
Lindenheuvel;50.98509;5.81667;NL
Limmen;52.56917;4.69444;NL
Liesveld;51.9325;4.83194;NL
Lichtenvoorde;51.98667;6.56667;NL
Leusden;52.1325;5.43194;NL
Lent;51.86167;5.86667;NL
Lemmer;52.84618;5.70912;NL
Lelystad;52.50833;5.475;NL
Leiderdorp;52.15833;4.52917;NL
Leiden;52.15833;4.49306;NL
Leeuwarden;53.20139;5.80859;NL
Leesten;52.1279;6.23217;NL
Leersum;52.01167;5.42778;NL
Leerdam;51.89333;5.09167;NL
Leek;53.1625;6.37639;NL
Laren;52.25667;5.22778;NL
Kudelstaart;52.23417;4.75139;NL
Krimpen aan den IJssel;51.91667;4.60278;NL
Krakeel;52.72339;6.51146;NL
Korvel;51.54954;5.07079;NL
Kortenhoef;52.23917;5.10694;NL
Korrewegwijk;53.23235;6.56804;NL
Kollum;53.27695;6.15293;NL
Klundert;51.665;4.53472;NL
Klazienaveen;52.72417;6.99028;NL
Kerkrade;50.86583;6.0625;NL
Kerkelanden;52.21755;5.13575;NL
Kerkdriel;51.77167;5.33472;NL
Katwijk aan Zee;52.20333;4.39861;NL
Katwijk aan den Rijn;52.19417;4.42222;NL
Kampen;52.555;5.91111;NL
Joure;52.9657;5.80301;NL
IJsselstein;52.02;5.04306;NL
IJmuiden;52.4603;4.61048;NL
Huizen;52.29917;5.24167;NL
Huizum;53.1917;5.81119;NL
Hoorn;52.6425;5.05972;NL
Hoogvliet;51.86333;4.3625;NL
Hoogland;52.1825;5.37361;NL
Hoogezand;53.16167;6.76111;NL
Hoogeveen;52.7225;6.47639;NL
Hoogerheide;51.42417;4.325;NL
Hoofddorp;52.3025;4.68889;NL
Honselersdijk;52.00665;4.22441;NL
Hoge Mors;52.15616;4.46025;NL
Hoge Vucht;51.60794;4.7915;NL
Hoensbroek;50.92387;5.92528;NL
Hoek van Holland;51.9775;4.13333;NL
Hilversum;52.22333;5.17639;NL
Hilvarenbeek;51.48583;5.1375;NL
Hillegom;52.29083;4.58333;NL
Heythuysen;51.25;5.89861;NL
Heusdenhout;51.58811;4.8193;NL
Hengstdal;51.83333;5.88333;NL
Hengelo;52.26583;6.79306;NL
Hendrik-Ido-Ambacht;51.84417;4.63889;NL
Helpman;53.19794;6.57978;NL
Helmond;51.48167;5.66111;NL
Hellevoetsluis;51.83333;4.13333;NL
Helden;51.31917;6;NL
Heino;52.43661;6.23282;NL
Heiloo;52.60252;4.68815;NL
Heeze;51.3828;5.57145;NL
Heeswijk-Dinther;51.65083;5.475;NL
Heesch;51.73362;5.52672;NL
Heerlen;50.88365;5.98154;NL
Heerhugowaard;52.67144;4.84862;NL
Heerenveen;52.95929;5.91854;NL
Heerde;52.38723;6.04016;NL
Heer;50.83836;5.72989;NL
Heemstede;52.34992;4.62301;NL
Heemskerk;52.51108;4.67165;NL
Hattem;52.475;6.06389;NL
Hatert;51.80635;5.83057;NL
Hasselt;52.59267;6.09527;NL
Harlingen;53.17477;5.42244;NL
Harenkarspel;52.73416;4.77682;NL
Haren;53.17209;6.60931;NL
Harderwijk;52.34167;5.62083;NL
Hardenberg;52.57583;6.61944;NL
Halsteren;51.52834;4.26785;NL
Haelen;51.23583;5.95694;NL
Haarlem;52.38084;4.63683;NL
Haaksbergen;52.15667;6.73889;NL
Grou;53.09456;5.83745;NL
Groot IJsselmonde;51.88264;4.54937;NL
Groningen;53.21917;6.56667;NL
Groesbeek;51.77667;5.93611;NL
Groenewoud;51.5386;5.09028;NL
Grave;51.75902;5.73882;NL
Gouda;52.01667;4.70833;NL
Gorredijk;53.00659;6.06402;NL
Gorinchem;51.83652;4.97243;NL
Goor;52.23333;6.58611;NL
Goirle;51.52083;5.06667;NL
Goes;51.50417;3.88889;NL
Goedereede;51.8175;3.98056;NL
Ginneken;51.56593;4.7931;NL
Gilze;51.54417;4.94028;NL
Giessendam;51.83257;4.83583;NL
Gennep;51.69833;5.97361;NL
Gendt;51.8775;5.97083;NL
Gemert;51.55583;5.69028;NL
Geleen;50.97417;5.82917;NL
Geldrop;51.42167;5.55972;NL
Geldermalsen;51.88083;5.28889;NL
Geertruidenberg;51.70167;4.85694;NL
Frankhuis;52.525;6.06806;NL
Franeker;53.18546;5.54123;NL
Feijenoord;51.91169;4.50645;NL
Ermelo;52.29833;5.62222;NL
Epe;52.3475;5.98333;NL
Enschede;52.21833;6.89583;NL
Enkhuizen;52.70333;5.29167;NL
Emmermeer;52.80071;6.89315;NL
Emmerhout;52.78755;6.93881;NL
Emmer-Compascuum;52.81167;7.04722;NL
Emmen;52.77917;6.90694;NL
Emmeloord;52.71083;5.74861;NL
Elst;51.91917;5.84167;NL
Elsloo;50.94917;5.77083;NL
Elburg;52.4475;5.84306;NL
Eindhoven;51.44083;5.47778;NL
Eijsden;50.78;5.7177;NL
Eibergen;52.1;6.64861;NL
Eersel;51.3575;5.31806;NL
Eerbeek;52.105;6.05833;NL
Eelde;53.13583;6.5625;NL
Ede;52.03333;5.65833;NL
Edam;52.51215;5.04805;NL
Duiven;51.94667;6.01389;NL
Duindorp;52.09078;4.26038;NL
Druten;51.88833;5.60556;NL
Dronten;52.525;5.71806;NL
Driemanspolder;52.05176;4.48504;NL
Driebergen-Rijsenburg;52.05333;5.28056;NL
Drachten;53.11254;6.0989;NL
Dordrecht;51.81;4.67361;NL
Doornsteeg;52.23;5.45417;NL
Doorn;52.03343;5.34571;NL
Dongen;51.62667;4.93889;NL
Dokkum;53.32224;5.99697;NL
Doetinchem;51.965;6.28889;NL
Doesburg;52.0125;6.13889;NL
Dinteloord;51.635;4.36944;NL
Dieren;52.0525;6.1;NL
Diemen;52.33964;4.96256;NL
Deventer;52.255;6.16389;NL
De Reit;51.56038;5.04932;NL
Den Helder;52.95988;4.75933;NL
Den Burg;53.05417;4.79722;NL
De Lier;51.975;4.24861;NL
Delfzijl;53.33;6.91806;NL
Delft;52.00667;4.35556;NL
Delfshaven;51.90488;4.45315;NL
Delden;52.26;6.71111;NL
De Kruiskamp;51.69978;5.26032;NL
De Heeg;50.82454;5.72309;NL
De Greiden;52.9496;5.91366;NL
De Drait;53.09743;6.06791;NL
De Doornakkers;51.43844;5.50887;NL
